SA2_Code,SA2_Name,varMedian_Income,SA4_Code,SA4_Name,Total_Population,Heart_Stroke_Vascular,Three_Chronic_Diseases_Or_More
201011001,Alfredton,52448,201,Ballarat,12579.8,4.8,7.7
201011002,Ballarat,51736,201,Ballarat,11713.6,5.6,9.7
201011003,Ballarat - North,49211,201,Ballarat,23749.2,5.4,10.8
201011004,Ballarat - South,44293,201,Ballarat,25077.3,5.6,12.8
201011005,Buninyong,51034,201,Ballarat,7210.4,5,8.5
201011006,Delacombe,47759,201,Ballarat,7455.6,4.5,10.6
201011007,Smythes Creek,49822,201,Ballarat,4031.5,4.6,8.8
201011008,Wendouree - Miners Rest,45002,201,Ballarat,14631.3,6.3,13.7
201021009,Bacchus Marsh Region,50002,201,Ballarat,6085,5,8.4
201021010,Creswick - Clunes,41021,201,Ballarat,7822.9,6.2,10.8
201021011,Daylesford,38686,201,Ballarat,9108.4,6.3,10.4
201021012,Gordon (Vic.),47895,201,Ballarat,5871.4,5.1,8.4
201031013,Avoca,38543,201,Ballarat,3328.1,8.1,16.7
201031014,Beaufort,38984,201,Ballarat,4033.9,7.8,14.7
201031015,Golden Plains - North,44154,201,Ballarat,4690.7,5.7,12.9
201031016,Maryborough (Vic.),39827,201,Ballarat,7920.9,7.8,18.2
201031017,Maryborough Region,36938,201,Ballarat,5372.2,7.9,17.1
202011018,Bendigo,46208,202,Bendigo,14378.4,5.8,13.3
202011019,California Gully - Eaglehawk,44261,202,Bendigo,12448.2,6.9,14.8
202011020,East Bendigo - Kennington,46635,202,Bendigo,13451.4,6.2,12.5
202011021,Flora Hill - Spring Gully,46562,202,Bendigo,9335.6,5,10.6
202011022,Kangaroo Flat - Golden Square,45451,202,Bendigo,19934,6.2,13.7
202011023,Maiden Gully,52247,202,Bendigo,5324.4,4,8.1
202011024,Strathfieldsaye,53073,202,Bendigo,9159.4,4.5,8
202011025,White Hills - Ascot,49283,202,Bendigo,12718.8,4.7,10.2
202021026,Bendigo Region - South,49529,202,Bendigo,7650,4.5,9.6
202021027,Castlemaine,42109,202,Bendigo,10078.6,6.3,14.2
202021028,Castlemaine Region,41255,202,Bendigo,8658.4,6,13.9
202021029,Heathcote,41695,202,Bendigo,4575.6,7.5,17.6
202021030,Kyneton,46315,202,Bendigo,9765.8,6.8,11.8
202021031,Woodend,53778,202,Bendigo,7190.2,5,9.7
202031032,Bendigo Region - North,45727,202,Bendigo,4495.7,6.1,12.9
202031033,Loddon,40616,202,Bendigo,7034.9,8.1,16.3
203011034,Bannockburn,52230,203,Geelong,6866.1,3.5,7.4
203011035,Golden Plains - South,47743,203,Geelong,7148.5,4,9.4
203011036,Winchelsea,45264,203,Geelong,5817.7,5.1,10.1
203021037,Belmont,46078,203,Geelong,14346.1,4.9,10.4
203021038,Corio - Norlane,42649,203,Geelong,26952.5,4.8,14.4
203021039,Geelong,50550,203,Geelong,12933.1,5.4,10
203021040,Geelong West - Hamlyn Heights,52867,203,Geelong,20305.8,5.2,9.5
203021041,Grovedale,48496,203,Geelong,25264.2,4.7,9.1
203021042,Highton,49958,203,Geelong,22486.9,4.9,8
203021043,Lara,53119,203,Geelong,18179.1,4.5,9.1
203021044,Leopold,48341,203,Geelong,13562.4,5.4,10.2
203021045,Newcomb - Moolap,43613,203,Geelong,14750,6.1,14.3
203021046,Newtown (Vic.),57818,203,Geelong,10543.8,5.6,8.2
203021047,North Geelong - Bell Park,47651,203,Geelong,14915.7,6.5,11.4
203031048,Clifton Springs,45472,203,Geelong,14151.7,5.7,12.6
203031049,Lorne - Anglesea,40485,203,Geelong,5248.6,6.4,11.6
203031050,Ocean Grove - Barwon Heads,50235,203,Geelong,25358.8,4.6,9.3
203031051,Portarlington,38323,203,Geelong,7702.2,7.9,18
203031052,Point Lonsdale - Queenscliff,39994,203,Geelong,4286,7.9,14.2
203031053,Torquay,52107,203,Geelong,20001.2,4.2,8.1
204011054,Alexandra,37890,204,Hume,6457.8,8.2,14.5
204011055,Euroa,38987,204,Hume,6273.9,8.3,14.3
204011056,Kilmore - Broadford,49320,204,Hume,14336.5,5.3,11.1
204011057,Mansfield (Vic.),37862,204,Hume,8578.7,7.1,12.2
204011058,Nagambie,45235,204,Hume,4098.7,7.3,13.2
204011059,Seymour,43392,204,Hume,6373.4,6.4,15.2
204011060,Seymour Region,49991,204,Hume,4264.7,5,9.3
204011061,Upper Yarra Valley,43740,204,Hume,187.7,6.6,15.7
204011062,Yea,37163,204,Hume,3656.1,7.7,13.5
204021063,Benalla,42700,204,Hume,10299.4,6.5,15.9
204021064,Benalla Region,37975,204,Hume,3636.9,5.9,12.6
204021065,Rutherglen,45971,204,Hume,3947.4,5.7,13
204021066,Wangaratta,45587,204,Hume,18747.4,6.6,13.7
204021067,Wangaratta Region,40688,204,Hume,9837.2,5.7,11.2
204031068,Beechworth,42008,204,Hume,4455.3,6.9,14.2
204031069,Bright - Mount Beauty,37190,204,Hume,8188.1,6.2,14.2
204031070,Chiltern - Indigo Valley,49193,204,Hume,3150.2,5.6,12.9
204031071,Myrtleford,39638,204,Hume,4674.2,6.5,14.8
204031072,Towong,39305,204,Hume,5974.4,7.1,14.8
204031073,West Wodonga,49702,204,Hume,15182.3,4,13
204031074,Wodonga,48998,204,Hume,25095.7,4.7,13
204031075,Yackandandah,47466,204,Hume,4537.5,5.5,11.4
205011076,Drouin,44882,205,Latrobe - Gippsland,17096.3,5.2,13
205011077,Mount Baw Baw Region,41422,205,Latrobe - Gippsland,6126.5,6.4,13.3
205011078,Trafalgar (Vic.),44410,205,Latrobe - Gippsland,8008.2,6.8,13.1
205011079,Warragul,45069,205,Latrobe - Gippsland,19598.8,5.8,12.5
205021081,Bairnsdale,42091,205,Latrobe - Gippsland,14976.4,6.6,14.6
205021082,Bruthen - Omeo,38409,205,Latrobe - Gippsland,8064.1,6.4,12.9
205021084,Lakes Entrance,35390,205,Latrobe - Gippsland,10085,8.1,17.5
205021085,Orbost,35600,205,Latrobe - Gippsland,6447.4,8.1,16.8
205021086,Paynesville,36444,205,Latrobe - Gippsland,6427.7,9.5,17.8
205031087,Foster,34854,205,Latrobe - Gippsland,8972.3,7.9,14.1
205031089,Korumburra,41642,205,Latrobe - Gippsland,9306.1,5.4,12.2
205031090,Leongatha,40948,205,Latrobe - Gippsland,11226.1,6.3,11.8
205031092,Wilsons Promontory,61865,205,Latrobe - Gippsland,9.1,4,9.2
205031093,Wonthaggi - Inverloch,38060,205,Latrobe - Gippsland,23076.9,7.2,14.9
205041094,Churchill,46847,205,Latrobe - Gippsland,11554,6.3,13.4
205041095,Moe - Newborough,43433,205,Latrobe - Gippsland,16703,6.8,16.8
205041096,Morwell,42558,205,Latrobe - Gippsland,13819.4,6.4,18
205041097,Traralgon,52169,205,Latrobe - Gippsland,27438.2,5.2,11.9
205041098,Yallourn North - Glengarry,50472,205,Latrobe - Gippsland,4694.2,5.5,11.7
205051099,Alps - West,18835,205,Latrobe - Gippsland,16.7,10.3,9.7
205051100,Longford - Loch Sport,40507,205,Latrobe - Gippsland,4362.5,8.2,14.5
205051101,Maffra,43501,205,Latrobe - Gippsland,14112.5,6.7,12.1
205051102,Rosedale,42172,205,Latrobe - Gippsland,4073.8,6.1,10.8
205051103,Sale,46718,205,Latrobe - Gippsland,14840.2,6.3,12
205051104,Yarram,38003,205,Latrobe - Gippsland,5367,9.5,14.8
206011105,Brunswick,54409,206,Melbourne - Inner,28162.5,3.2,7.1
206011106,Brunswick East,56690,206,Melbourne - Inner,12707.4,3.1,6.6
206011107,Brunswick West,52890,206,Melbourne - Inner,14821.1,3.5,7.8
206011108,Coburg,52108,206,Melbourne - Inner,28335.3,3.9,8.6
206011109,Pascoe Vale South,56576,206,Melbourne - Inner,10744.2,4.2,8.3
206021110,Alphington - Fairfield,59610,206,Melbourne - Inner,9705.3,3.9,7.2
206021111,Northcote,60986,206,Melbourne - Inner,26865.1,3.6,7.1
206021112,Thornbury,56044,206,Melbourne - Inner,19857.7,4.3,7.7
206031113,Ascot Vale,59981,206,Melbourne - Inner,15983.8,3.6,7.2
206031114,Essendon - Aberfeldie,59116,206,Melbourne - Inner,29684.8,4.2,6.7
206031115,Flemington,51553,206,Melbourne - Inner,10860.9,2.8,8.1
206031116,Moonee Ponds,60879,206,Melbourne - Inner,15354.6,3.9,7.1
206041117,Carlton,37254,206,Melbourne - Inner,19887.9,1.8,5.4
206041118,Docklands,54047,206,Melbourne - Inner,13689.6,2,4
206041119,East Melbourne,71759,206,Melbourne - Inner,5314.2,3.7,7.3
206041120,Flemington Racecourse,51725,206,Melbourne - Inner,77.6,1.2,5
206041121,Kensington (Vic.),65563,206,Melbourne - Inner,11785.2,2.5,7
206041122,Melbourne,28806,206,Melbourne - Inner,43218.2,1.4,2.9
206041123,North Melbourne,48424,206,Melbourne - Inner,22496,2.2,5.7
206041124,Parkville,46314,206,Melbourne - Inner,5478.7,2.4,5.3
206041125,South Yarra - West,68512,206,Melbourne - Inner,6536.2,3.8,7.4
206041126,Southbank,51696,206,Melbourne - Inner,21823.3,1.9,3.9
206051128,Albert Park,66627,206,Melbourne - Inner,16633.9,4.2,5.9
206051129,Elwood,65893,206,Melbourne - Inner,16764.2,2.7,5.2
206051130,Port Melbourne,74967,206,Melbourne - Inner,17831.4,4.2,6.6
206051131,Port Melbourne Industrial,49240,206,Melbourne - Inner,16.1,0.7,3.2
206051132,South Melbourne,63351,206,Melbourne - Inner,12659.3,3.3,6.9
206051133,St Kilda,56940,206,Melbourne - Inner,27871.8,2.9,5.5
206051134,St Kilda East,56841,206,Melbourne - Inner,17894.9,2.7,5
206061135,Armadale,66098,206,Melbourne - Inner,9804.4,3.7,6.2
206061136,Prahran - Windsor,63435,206,Melbourne - Inner,21383.8,2.8,6
206061137,South Yarra - East,63969,206,Melbourne - Inner,23747,2.8,5.3
206061138,Toorak,72451,206,Melbourne - Inner,14211.1,5.2,7
206071139,Abbotsford,61476,206,Melbourne - Inner,9453.5,2.4,5.3
206071140,Carlton North - Princes Hill,57240,206,Melbourne - Inner,9228.7,3.5,7
206071141,Collingwood,60589,206,Melbourne - Inner,9882.4,2.6,7.6
206071142,Fitzroy,58258,206,Melbourne - Inner,11171.4,2.8,8.1
206071143,Fitzroy North,62727,206,Melbourne - Inner,13406.3,3.6,7.9
206071144,Richmond (Vic.),66967,206,Melbourne - Inner,33755.1,3,7.2
206071145,Yarra - North,68435,206,Melbourne - Inner,9403.6,3.4,6.7
207011146,Ashburton (Vic.),61321,207,Melbourne - Inner East,8148.3,3.7,6.3
207011147,Balwyn,50044,207,Melbourne - Inner East,16821.3,5.3,6.5
207011148,Balwyn North,50469,207,Melbourne - Inner East,21609.3,4.4,5.9
207011149,Camberwell,59133,207,Melbourne - Inner East,22344.5,4,6
207011150,Glen Iris - East,63403,207,Melbourne - Inner East,17567.5,4.2,5.7
207011151,Hawthorn,57352,207,Melbourne - Inner East,24553.3,2.9,5
207011152,Hawthorn East,61766,207,Melbourne - Inner East,16643.2,3.5,5.3
207011153,Kew,61588,207,Melbourne - Inner East,25955.2,4.1,6
207011154,Kew East,58226,207,Melbourne - Inner East,6969.4,4,5.9
207011155,Surrey Hills (West) - Canterbury,63041,207,Melbourne - Inner East,16999.3,4,6
207021156,Bulleen,47352,207,Melbourne - Inner East,11743.6,6,8.7
207021157,Doncaster,41278,207,Melbourne - Inner East,22917.8,5.3,7.6
207021159,Templestowe,47638,207,Melbourne - Inner East,17419,5.4,6.7
207021160,Templestowe Lower,45926,207,Melbourne - Inner East,14116.7,5.6,8
207021424,Doncaster East (North),43211,207,Melbourne - Inner East,15525.5,4.9,6.7
207021425,Doncaster East (South),40689,207,Melbourne - Inner East,14920.8,4.7,7.9
207031161,Blackburn,50380,207,Melbourne - Inner East,22592.7,4.3,6.1
207031162,Blackburn South,47174,207,Melbourne - Inner East,11075.2,5.2,7.1
207031163,Box Hill,37811,207,Melbourne - Inner East,21452.5,3.6,5.3
207031164,Box Hill North,46864,207,Melbourne - Inner East,18782.2,4.4,6.1
